q1	q2
NILQ00009148	Q84263196
NILQ00009148	NILQ00015814
NILQ00009148	NILQ00006080
NILQ00009148	Q188928
NILQ00009148	NILQ00009022
NILQ00009148	Q10876
NILQ00009148	NILQ00000119
NILQ00009148	NILQ00004574
NILQ00009148	NILQ00005003
NILQ00009148	NILQ00005002
NILQ00009148	Q787
NILQ00009148	Q17009511
NILQ00009148	NILQ00010180
NILQ00009148	Q1333727
NILQ00009148	Q7942
NILQ00009148	NILQ00009882
NILQ00009148	NILQ00008679
NILQ00009148	NIL00000246
NILQ00009148	NIL00000711
NILQ00009148	NIL00000248
NILQ00009148	NILQ00011279
NILQ00009148	Q256401
NILQ00009148	NILQ00009807
NILQ00009148	Q258
NILQ00009148	Q192935
NILQ00009148	NILQ00011740
NILQ00009148	Q159
NILQ00009148	NILQ00000425
NILQ00009148	NILQ00005174
NILQ00009148	NILQ00001921
NILQ00009148	NILQ00000752
NILQ00009148	NILQ00012848
NILQ00009148	NILQ00012432
NILQ00009148	NILQ00011753
NILQ00009148	NILQ00012387
NILQ00009148	NILQ00000524
NILQ00009148	NIL00000408
NILQ00009148	NILQ00001709
NILQ00009148	NILQ00003591
NILQ00009148	Q60140
NILQ00009148	NIL00000401
NILQ00009148	NILQ00001706
NILQ00009148	NILQ00001707
NILQ00009148	NILQ00006122
NILQ00009148	NIL00000765
NILQ00009148	Q35525
NILQ00009148	NILQ00001710
NILQ00009148	NILQ00002845
NILQ00009148	NILQ00013257
NILQ00009148	NIL00000084
NILQ00009148	NIL00000082
NILQ00009148	NILQ00000230
NILQ00009148	NILQ00006728
NILQ00009148	NILQ00003768
NILQ00009148	NIL00015392
NILQ00009148	NILQ00003046
NILQ00009148	NIL00000660
NILQ00009148	NIL00000107
NILQ00009148	NILQ00005353
NILQ00009148	NIL00000104
NILQ00009148	NILQ00005527
NILQ00009148	NIL00000102
NILQ00009148	NILQ00008048
NILQ00009148	Q496805
NILQ00009148	NILQ00015825
NILQ00009148	NILQ00004106
NILQ00009148	NILQ00003343
NILQ00009148	NILQ00004101
NILQ00009148	Q13579947
NILQ00009148	Q39201
NILQ00009148	NILQ00014744
NILQ00009148	NILQ00006432
NILQ00009148	Q183
NILQ00009148	NIL00010037
NILQ00009148	NIL00000271
NILQ00009148	NILQ00012376
NILQ00009148	Q178559
NILQ00009148	NILQ00005456
NILQ00009148	NIL00000589
NILQ00009148	NILQ00005322
NILQ00009148	NIL00000582
NILQ00009148	Q96
NILQ00009148	NILQ00006030
NILQ00009148	NILQ00009743
NILQ00009148	NIL00011917
NILQ00009148	NILQ00006137
NILQ00009148	NILQ00006610
NILQ00009148	NILQ00000469
NILQ00009148	NIL00000804
NILQ00009148	NIL00000800
NILQ00009148	NILQ00008579
NILQ00009148	NILQ00004402
NILQ00009148	Q3377398
NILQ00009148	NILQ00006686
NILQ00009148	Q1295201
NILQ00009148	Q11746
NILQ00009148	NIL00002380
NILQ00009148	Q3157429
NILQ00009148	NILQ00015517
NILQ00009148	NILQ00003145